transaction_id,account_id,transaction_date,transaction_time,amount,currency,merchant_name,merchant_category_code,transaction_description,category,subcategory,transaction_type,is_recurring,recurring_frequency,balance_after_transaction,location_city,location_state,location_country
TXN000001,ACC10001,03/04/2024,10:19:32,-112.79,USD,Whole Foods Market,5411,Whole Foods Market San Francisco CA,Groceries,Supermarkets,debit,FALSE,,1958.21,San Francisco,CA,USA
TXN000002,ACC10002,31/03/2024,8:38:09,2320,USD,ACME Payroll,0,ACME Payroll Direct Deposit,Salary,,credit,TRUE,monthly,4103.55,,,USA
TXN000003,ACC10003,04/04/2024,12:12:44,-46,USD,Uber,4121,Uber trip CA3245,Transportation,Taxi/Rideshare,debit,FALSE,,320.12,Los Angeles,CA,USA
TXN000004,ACC10001,05/04/2024,16:03:23,-1200,USD,Sunset Villas,6513,Sunset Villas Monthly Rent,Rent,Apartment,payment,TRUE,monthly,758.21,Oakland,CA,USA
TXN000005,ACC10004,01/04/2024,19:21:07,-85.45,USD,Comcast,4899,Comcast Internet Bill,Utilities,Internet,debit,TRUE,monthly,1420.4,Seattle,WA,USA
TXN000006,ACC10005,02/04/2024,11:42:16,-13.68,USD,Starbucks,5814,Starbucks Coffee #32 Austin TX,Food & Drink,Coffee Shops,debit,FALSE,,524.38,Austin,TX,USA
TXN000007,ACC10006,30/03/2024,9:12:01,-65,USD,PG&E,4900,PG&E Utility Payment,Utilities,Electricity,payment,TRUE,monthly,1185,San Jose,CA,USA
TXN000008,ACC10006,01/04/2024,18:01:45,150,USD,Venmo,4829,Venmo Transfer from friend,Transfer,Peer-to-peer,deposit,FALSE,,1335,,,USA
TXN000009,ACC10007,03/04/2024,13:33:51,-22.1,USD,Netflix,4899,Netflix Monthly Subscription,Entertainment,Subscriptions,debit,TRUE,monthly,297.58,Chicago,IL,USA
TXN000010,ACC10008,04/04/2024,15:28:26,-45,USD,24 Hour Fitness,7991,24 Hour Fitness Gym Fee,Other,Fitness,payment,FALSE,,402.1,Houston,TX,USA
TXN000011,ACC10009,29/03/2024,20:11:50,-14.93,USD,Chipotle,5812,Chipotle Order 2024-03-29,Food & Drink,Fast Food,debit,FALSE,,1132.74,Chicago,IL,USA
TXN000012,ACC10010,02/04/2024,17:05:08,-22,USD,AMC Theatres,7832,AMC Movie Night,Entertainment,Movies,debit,FALSE,,180,Seattle,WA,USA
TXN000013,ACC10002,05/04/2024,10:14:51,0,USD,,,System Test Transaction,Other,,deposit,FALSE,,4103.55,,,USA
TXN000014,ACC10007,02/04/2024,7:51:22,-3.5,USD,,,ATM Withdrawal Fee,Fees,ATM,debit,FALSE,,294.08,,,USA
TXN000015,ACC10011,03/04/2024,12:01:00,50,EUR,Apple Store,5732,Apple Store Paris Refund,Refund,Electronics,credit,FALSE,,670,Paris,,FRA
TXN000016,ACC10012,28/03/2024,14:25:36,-870,EUR,IKEA,5712,IKEA Furniture Purchase,Home,Furniture,debit,FALSE,,330,Paris,,FRA
TXN000017,ACC10013,04/04/2024,22:37:57,-15,USD,Spotify,4899,Spotify Premium Subscription,Entertainment,Music,debit,TRUE,monthly,2500,Austin,TX,USA
TXN000018,ACC10014,01/04/2024,6:01:22,-8.99,USD,,,Monthly Account Maintenance Fee,Fees,Account Maintenance,debit,TRUE,monthly,892,,,USA
TXN000019,ACC10015,02/04/2024,17:44:03,-142,USD,Safeway,5411,Safeway Grocery Shopping,Groceries,Supermarkets,debit,FALSE,,121.43,Phoenix,AZ,USA
TXN000020,ACC10016,31/03/2024,10:29:15,-230,USD,Blue Cross Health,6300,Blue Cross Health Insurance,Insurance,Health,debit,TRUE,monthly,802,San Francisco,CA,USA
TXN000021,ACC10017,04/04/2024,11:30:50,-225,USD,State Farm,6300,State Farm Auto Insurance,Insurance,Auto,payment,TRUE,monthly,1090,Chicago,IL,USA
TXN000022,ACC10018,05/04/2024,15:34:26,-17.25,USD,Uber Eats,5812,Uber Eats Delivery,Food & Drink,Delivery,debit,FALSE,,240.85,Seattle,WA,USA
TXN000023,ACC10019,27/03/2024,13:33:15,-3200,EUR,AlpenResort,7011,AlpenResort Booking Zermatt,Travel,Hotels,debit,FALSE,,2100,Zermatt,,CHE
TXN000024,ACC10011,02/04/2024,8:41:44,0.01,EUR,,,Test Micro Deposit,Other,,deposit,FALSE,,670.01,,,FRA
TXN000025,ACC10020,05/04/2024,18:55:09,-18.99,USD,Bank of America,6011,Bank Card Replacement Fee,Fees,Card Replacement,debit,FALSE,,1456.87,,,USA
TXN000026,ACC10021,04/04/2024,15:09:31,1000,USD,Chase Bank,6010,Chase Bank Deposit,Income,Bank Transfer,deposit,FALSE,,2300,Los Angeles,CA,USA
TXN000027,ACC10022,28/03/2024,,-12.5,USD,,,Funds Transfer Out,Transfer,Internal,transfer,FALSE,,810,,,USA
TXN000028,ACC10023,05/04/2024,17:27:14,-109.25,USD,Trader Joe's,5411,Trader Joe's Grocery,Groceries,Supermarkets,debit,FALSE,,209.78,San Francisco,CA,USA
TXN000029,ACC10024,01/04/2024,11:49:38,-7.5,USD,Venmo,4829,Venmo Transfer Fee,Fees,Transfer Fee,debit,FALSE,,500,,,USA
TXN000030,ACC10025,29/03/2024,14:42:55,450,USD,IRS,9311,IRS Tax Refund,Refund,Tax,credit,FALSE,,702,,,USA
TXN000031,ACC10026,03/04/2024,19:18:13,-33.4,USD,CVS Pharmacy,5912,CVS Pharmacy Purchase,Home,Personal Care,debit,FALSE,,345,New York,NY,USA
TXN000032,ACC10027,04/04/2024,9:37:29,-23.25,USD,Lyft,4121,Lyft Ride SF,Transportation,Taxi/Rideshare,debit,FALSE,,560,San Francisco,CA,USA
TXN000033,ACC10028,30/03/2024,21:44:52,200,JPY,Lotto Corp,7995,Lotto Corp Prize,Income,Lottery,credit,FALSE,,450,Tokyo,,JPN
TXN000034,ACC10029,02/04/2024,18:27:39,-90,CHF,Coop,5411,Coop Groceries Zurich,Groceries,Supermarkets,debit,FALSE,,340,Zurich,,CHE
TXN000035,ACC10030,31/03/2024,,-0.01,USD,,,Test Micro Debit,Other,,debit,FALSE,,1000,,,USA
TXN000036,ACC10031,03/04/2024,16:23:08,-120,USD,Allianz,6300,Allianz Insurance Payment,Insurance,Travel,payment,FALSE,,259,Munich,,DEU
TXN000037,ACC10032,01/04/2024,14:48:27,1200,USD,Bank of America,6011,Bank of America Deposit,Income,Bank Transfer,deposit,FALSE,,1750,Los Angeles,CA,USA
